trial_index,arm_name,trial_status,generation_node,throughput(token/s),energy(J/token),block_size,max_num_seqs,max_num_batched_tokens,tensor_parallel_size,pipeline_parallel_size,enable_chunked_prefill,enable_prefix_caching,dtype_idx,data_parallel_size
0,0_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,47.735963411354,113.1564745163429,8066.07910282333,2.9905208402120227,3.8936490941031274,0.45100119709968567,0.778520941734314,0.8236200213432312,1
1,1_0,COMPLETED,GenerationStep_0,446.6109568978968,1.2505202596264764,81.8423435312257,189.93995398777346,5599.796991141801,1.6718644551356254,1.3821873858561573,0.7435607584193349,0.290691283531487,1.2527548931539059,1
2,2_0,COMPLETED,GenerationStep_0,449.1408263017007,1.9217247147798995,95.26572259182963,81.58413724573295,11358.352330318738,2.294894677150213,1.665857932986487,0.9521320592612028,0.5400181142613292,1.549855563789606,1
3,3_0,COMPLETED,GenerationStep_0,320.13297445328976,1.4812202409664148,41.00243443780918,137.37338450395055,5222.465588064852,1.0774026107777888,2.3655188090289383,0.24444211274385452,0.027728605084121227,0.11985954642295837,1
4,4_0,COMPLETED,GenerationStep_0,408.03537880900916,1.3340130123250307,35.01373406838622,64.24362187318906,6593.637902650559,1.384794826788827,2.7251821083296854,0.2968638315796852,0.7333024563267827,1.9585605897009373,1
5,5_0,COMPLETED,GenerationStep_0,466.21612069255127,1.874696781336774,120.06068422799028,153.39670240510014,9169.176222259703,2.49363209631083,1.9347967669718993,0.5266482662409544,0.21335112769156694,0.4024726152420044,1
6,6_0,COMPLETED,GenerationStep_0,474.14120741945584,1.5048496301806331,69.86450124871719,93.17778447291117,4672.800129919439,1.8260479693366234,1.164364270886776,0.7937847347930074,0.9640228180214763,0.669916920363903,1
7,7_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,60.13946375678954,220.59103445482918,9810.107175001469,3.9050443776802837,3.3067931041352314,0.023808891884982586,0.484095293097198,1.2229598127305508,1
8,8_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,57.911408108194294,84.99114718391046,4286.786277303818,2.7087164760124107,1.2234804883259363,0.17008750420063734,0.630316449329257,1.7870006207376719,1
9,9_0,COMPLETED,GenerationStep_0,528.8824464089303,1.0743866001448596,67.27614820934433,143.9962985425448,10696.479002134083,1.2734058474840382,3.4743916922069893,0.9010003702715039,0.17376634292304516,0.3557829540222883,1
10,10_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,115.57386026238258,118.37155765624328,6939.258725524208,3.5736561631283137,2.000203718118277,0.668959116563201,0.9226063191890717,0.5913587566465139,1
11,11_0,COMPLETED,GenerationStep_0,449.7516113038649,1.6696119999361458,33.705223881716414,197.73756440819096,8714.659035984616,1.9951650846320517,1.4202050526517758,0.40011265873908997,0.3790353387594223,1.0197602231055498,1
12,12_0,COMPLETED,GenerationStep_0,479.4929473736161,1.9935421458919222,42.594246917349835,106.43794790847254,11950.75724404141,1.5284362721862648,1.7477728806979442,0.07423865795135498,0.8658595513552427,0.9326804932206869,1
13,13_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,98.96415331272244,250.77136509409394,4962.355649015379,3.2730236523720158,2.4816266464376793,0.8678646739572287,0.31468778662383556,1.4869450349360704,1
14,14_0,COMPLETED,GenerationStep_0,441.35663715653834,1.2702825199831431,84.99109967040718,72.88480948243357,7397.680093904788,1.1731102011685697,2.861213569575751,0.5773231582716107,0.5658491849899292,1.6909132543951273,1
15,15_0,COMPLETED,GenerationStep_0,474.08623659593036,1.4218102165517779,49.57252276067743,175.10853691211318,6104.048034297478,2.109587765424133,1.0157733548065617,0.37070252280682325,0.11714018881320953,0.13555866293609142,1
16,16_0,COMPLETED,GenerationStep_1,0.0,1000000000.0,127.99999999999999,256.0,12288.0,2.088664951293406,2.5665964919491215,1.0,0.0,0.0,1
17,17_0,COMPLETED,GenerationStep_1,539.3857522092646,1.7817596114224306,90.93306122060152,119.96143256022445,12288.0,1.698477484948852,1.5601713700325581,0.7095195728865543,0.3831048856394626,0.8495414411232292,1
18,18_0,COMPLETED,GenerationStep_1,0.0,1000000000.0,64.02233147976376,135.9712904900355,5579.155181498319,1.5203945287980434,2.6982961311210474,0.48567636466214387,0.5030890103205737,1.059811497772185,1
19,19_0,COMPLETED,GenerationStep_1,502.6430752231178,1.3558020775482804,55.2703585103504,157.32495825669676,10461.141134084164,1.5546068583831367,1.3145036759146882,0.6827206261140856,0.2143013359687403,0.7954168904339199,1
20,20_0,COMPLETED,GenerationStep_1,355.22232331646086,1.5476438613156456,78.94847146212992,116.60567544405205,11396.551654544657,1.4004870138904173,2.503225242666851,0.6639400605337972,0.08176202452822245,0.32486885186557446,1
